名称,指定者,声明,NOTE,类/接口,抛出,
containsKey,,boolean containsKey(Object key),如果此映射包含指定键的映射关系，则返回 true。更正式地说，当且仅当此映射包含键 k 的以下映射关系时才返回 true：(key==null ? k==null : key.equals(k))。（最多只能有一个这样的映射关系）。,Map,"ClassCastException - 如果该键对于此映射是不合适的类型（可选）。 
NullPointerException - 如果该键为 null 并且此映射不允许 null 键（可选）。",
containsValue,,boolean containsValue(Object value),如果此映射为指定值映射一个或多个键，则返回 true。更正式地说，当且仅当此映射至少包含一个 v 的以下映射关系时才返回 true：(value==null ? v==null : value.equals(v))。对于大多数 Map 接口的实现而言，该操作可能需要与映射大小呈线性关系的时间。 ,Map,"ClassCastException - 如果该值对于此映射是不合适的类型（可选）。 
NullPointerException - 如果该值为 null 并且此映射不允许 null 值（可选）。",
get,,V get(Object?key),"返回此映射中映射到指定键的值。如果此映射中没有该键的映射关系，则返回 null。返回 null 值并非一定 表明此映射不包含该键的映射关系；也可能此映射将该键显示地映射到 null。可使用 containsKey 操作来区分这两种情况。 
更正式地说，如果此映射包含满足以下从键 k 到值 v 的映射关系：(key==null ? k==null :key.equals(k))，则此方法返回 v；否则返回 null（最多只能有一个这样的映射关系）。",Map,"ClassCastException - 如果该键对于此映射是不合适的类型（可选）。 
NullPointerException - 如果该键为 null 并且此映射不允许 null 键（可选）。",
put,,"V put(K key,V value)",将指定的值与此映射中的指定键相关联（可选操作）。如果此映射中以前包含一个该键的映射关系，则用指定值替换旧值（当且仅当 m.containsKey(k) 返回 true 时，才能说映射 m 包含键 k 的映射关系）。,Map,"UnsupportedOperationException - 如果此映射不支持 put 操作。 
ClassCastException - 如果指定键或值的类不允许将其存储在此映射中。 
IllegalArgumentException - 如果此键或值的某些方面不允许将其存储在此映射中。 
NullPointerException - 如果此映射不允许 null 键或值，并且指定的键或值为 null。
",
remove,,V remove(Object key),"如果存在此键的映射关系，则将其从映射中移除（可选操作）。更正式地说，如果此映射包含满足以下从键 k 到值 v 的映射关系：(key==null ? k==null :key.equals(k))，则移除该映射关系（该映射最多只能包含一个这样的映射关系）。 
返回此映射中以前映射该键的值，或者如果此映射不包含该键的映射关系，则返回 null（如果该实现支持 null 值，则返回 null 也可表明此映射以前将 null 与指定键相关联）。一旦调用返回，则此映射不包含指定键的映射关系。",Map,"ClassCastException - 如果该键对于此映射是不合适的类型（可选）。 
NullPointerException - 如果该键为 null 并且此映射不允许 null 键（可选）。 
UnsupportedOperationException - 如果此映射不支持 remove 操作。",
putAll,,"void putAll(Map<? extends K,? extends V> t)","从指定映射中将所有映射关系复制到此映射中（可选操作）。对于指定映射中的每个键 k 到值 v 的映射关系，该调用的作用等效于在此映射上调用 put(k, v)。如果正在进行此操作的同时修改了指定的映射，则此操作的行为是未指定的。",Map,"UnsupportedOperationException - 如果此映射不支持 putAll 方法。 
ClassCastException - 如果指定映射中的键或值的类不允许将其存储在此映射中。 
IllegalArgumentException - 如果指定映射中的键或值的某些方面不允许将其存储在此映射中。 
NullPointerException - 如果指定的映射为 null，或者如果此映射不允许 null 键或值，并且指定的映射包含 null 键或值。",
clear,,void clear(),从此映射中移除所有映射关系（可选操作）。,Map,UnsupportedOperationException - 此映射不支持清除。,
keySet,,Set<K> keySet(),返回此映射中包含的键的 set 视图。该 set 受映射支持，所以对映射的改变可在此 set 中反映出来，反之亦然。如果修改映射的同时正在对该 set 进行迭代（除了通过迭代器自己的 remove 操作外），则迭代结果是不明确的。set 支持通过 Iterator.remove、Set.remove、removeAll retainAll 和 clear 操作实现元素移除，即从映射中移除相应的映射关系。它不支持 add 或 addAll 操作。,Map,,
values,,Collection<V> values(),返回此映射中包含的值的 collection 视图。该 collection 受映射支持，所以对映射的改变可在此 collection 中反映出来，反之亦然。如果修改映射的同时正在对该 collection 进行迭代（除了通过迭代器自己的 remove 操作外），则迭代结果是不明确的。collection 支持通过 Iterator.remove、Collection.remove、removeAll、retainAll 和 clear 操作实现元素移除，即从映射中移除相应的映射关系。它不支持 add 或 addAll 操作。 ,Map,,
entrySet,,"Set<Map.Entry<K,V>> entrySet()",返回此映射中包含的映射关系的 set 视图。返回的 set 中的每个元素都是一个 Map.Entry。该 set 受映射支持，所以对映射的改变可在此 set 中反映出来，反之亦然。如果修改映射的同时正在对该 set 进行迭代（除了通过迭代器自己的 remove 操作，或者通过在迭代器返回的映射项上执行 setValue 操作外），则迭代结果是不明确的。set 支持通过 Iterator.remove、Set.remove、removeAll、retainAll 和 clear 操作实现元素移除，即从映射中移除相应的映射关系。它不支持 add 或 addAll 操作。 ,Map,,
equals,,boolean equals(Object o),"比较指定的对象与此映射是否相等。如果给定的对象也是一个映射，并且这两个映射表示相同的映射关系，则返回 true。更正式地说，如果 t1.entrySet().equals(t2.entrySet())，则两个映射 t1 和 t2 表示相同的映射关系。这可以确保 equals 方法在不同的 Map 接口实现间可正确地工作。 覆盖：类 Object 中的 equals
",Map,,
hashCode,,int hashCode(),"返回此映射的哈希代码值。映射的哈希代码定义为此映射 entrySet 视图中每个项的 hashCode 之和。这确保 t1.equals(t2) 意味着对于任意两个映射 t1 和 t2 而言，t1.hashCode()==t2.hashCode()，这正是 Object.hashCode 常规协定所要求的。 

覆盖：
类 Object 中的 hashCode",Map,,
getKey,,K getKey(),返回与此项对应的键,Map.Entry,IllegalStateException - 如果已经从底层映射中移除了该项，则实现可能（但不要求）抛出此异常,
getValue,,V getValue(),返回与此项对应的值。如果已经从底层映射中移除了映射关系（通过迭代器的 remove 操作），则此调用的结果是不明确的。,Map.Entry ,IllegalStateException - 如果已经从底层映射中移除了该项，则实现可能，但不要求，抛出此异常,
setValue,,V setValue(V value),用指定的值替换与此项对应的值（可选操作）。（写入该映射。）如果已经从映射中移除了映射关系（通过迭代器的 remove 操作），则此调用的行为是不明确的。 ,Map.Entry ,"UnsupportedOperationException - 如果底层映射不支持 put 操作。 
ClassCastException - 如果指定值的类不允许将该值存储在底层映射中。 
IllegalArgumentException - 如果此值的某些方面不允许将其存储在底层映射中。 
NullPointerException - 如果底层映射不允许 null 值，并且指定的值为 null。 
IllegalStateException - 如果已经从底层映射中移除了该项，则实现可能，但不要求，抛出此异常",
equals,,boolean equals(Object o),"比较指定对象与此项的相等性。如果给定对象也是一个映射项，并且两个项表示相同的映射关系，则返回 true。更正式地说，如果满足以下条件，则两个项 e1 和 e2 才表示相同的映射关系
     (e1.getKey()==null ?
      e2.getKey()==null : e1.getKey().equals(e2.getKey()))  &&
     (e1.getValue()==null ?
      e2.getValue()==null : e1.getValue().equals(e2.getValue()))
 这可以确保 equals 方法在不同的 Map.Entry 接口实现间可正确地工作。 

覆盖：
类 Object 中的 equals",Map.Entry ,,
hashCode,,int hashCode(),"返回此映射项的哈希代码值。映射项 e 的哈希代码定义如下：
     (e.getKey()==null   ? 0 : e.getKey().hashCode()) ^
     (e.getValue()==null ? 0 : e.getValue().hashCode())
 这确保 e1.equals(e2) 意味着对于任意两个项 e1 和 e2 而言，e1.hashCode()==e2.hashCode()，这正是 Object.hashCode 的常规协定所要求的。 

覆盖：
类 Object 中的 hashCode",Map.Entry ,,
pattern,,public Pattern pattern(),返回由此匹配器解释的模式。,Matcher,,
toMatchResult,,public MatchResult toMatchResult(),作为 MatchResult 返回此匹配器的匹配状态。该结果不受对此匹配器执行的后续操作的影响。,Matcher,,
usePattern,,public Matcher usePattern(Pattern newPattern),"更改此 Matcher 用于查找匹配项的 Pattern。 
此方法可导致匹配器丢失有关最后发生匹配的组的信息。维持了输入中匹配器的位置并且不影响其最后追加的位置。从以下版本开始： 
1.5",Matcher,IllegalArgumentException - 如果 newPattern 为 null。,
reset,,public Matcher reset(),"重置匹配器。 
重置匹配器将放弃其所有显式状态信息并将其追加位置设置为零。匹配器的区域被设置为默认区域，默认区域就是其整个字符序列。此匹配器的区域边界的定位和透明度都不受影响。",Matcher,,
reset,,public Matcher reset(CharSequence input),"重置此具有新输入序列的匹配器。 
重置匹配器将放弃其所有显式状态信息并将其追加位置设置为零。匹配器的区域被设置为默认区域，默认区域就是其整个字符序列。此匹配器的区域边界的定位和透明度都不受影响。",Matcher,,
start,MatchResult,public int start(),返回以前匹配的初始索引。,Matcher,IllegalStateException - 如果没有尝试任何匹配，或者以前的匹配操作失败。,
start,MatchResult,public int start(int group),"返回在以前的匹配操作期间，由给定组所捕获的子序列的初始索引。 
捕获组是从 1 开始从左到右的索引。组零表示整个模式，因此表达式 m.start(0) 等效于 m.start()。",Matcher,"IllegalStateException - 如果没有尝试任何匹配，或者以前的匹配操作失败。 
IndexOutOfBoundsException - 如果在给定索引的模式中不存在捕获组。",
end,MatchResult,public int end(),返回最后匹配字符之后的偏移量。,Matcher,IllegalStateException - 如果没有尝试任何匹配，或者以前的匹配操作失败。,
end,MatchResult,public int end(int group),"返回在以前的匹配操作期间，由给定组所捕获子序列的最后字符之后的偏移量。 
捕获组是从 1 开始从左到右的索引。组零表示整个模式，因此表达式 m.end(0) 等效于 m.end()。",Matcher,"IllegalStateException - 如果没有尝试任何匹配，或者以前的匹配操作失败。 
IndexOutOfBoundsException - 如果在给定索引的模式中不存在捕获组",
group,MatchResult,public String group(),"返回由以前匹配操作所匹配的输入子序列。 
对于具有输入序列 s 的匹配器 m，表达式 m.group() 和 s.substring(m.start(), m.end()) 是等效的。 
注意，某些模式（例如，a*）匹配空字符串。当模式成功匹配输入中的空字符串时，此方法将返回空字符串。",Matcher,IllegalStateException - 如果没有尝试任何匹配，或者以前的匹配操作失败。,
group,MatchResult,public String group(int group),"返回在以前匹配操作期间由给定组捕获的输入子序列。 
对于匹配器 m、输入序列 s 和组索引 g，表达式 m.group(g) 和 s.substring(m.start(g), m.end(g)) 是等效的。 
捕获组是从 1 开始从左到右的索引。组零表示整个模式，因此表达式 m.group(0) 等效于 m.group()。 
如果该匹配成功了，但指定组未能匹配输入序列的任何部分，则返回 null。注意，某些组（例如，(a*)）匹配空字符串。当这些的组成功匹配输入中的空字符串时，此方法将返回空字符串。",Matcher,"IllegalStateException - 如果没有尝试任何匹配，或者以前的匹配操作失败。 
IndexOutOfBoundsException - 如果在给定索引的模式中不存在捕获组。",
groupCount,MatchResult,public int groupCount(),"返回此匹配器模式中的捕获组数。 
根据惯例，零组表示整个模式。它不包括在此计数中。 
任何小于或等于此方法返回值的非负整数保证是此匹配器的有效组索引。 ",Matcher,,
matches,,public boolean matches(),"尝试将整个区域与模式匹配。 
如果匹配成功，则可以通过 start、end 和 group 方法获取更多信息。",Matcher,,
find,,public boolean find(),"尝试查找与该模式匹配的输入序列的下一个子序列。 
此方法从匹配器区域的开头开始，或者如果该方法的前一次调用成功了并且从那时开始匹配器没有被重置，则从以前匹配操作没有匹配的第一个字符开始。 
如果匹配成功，则可以通过 start、end 和 group 方法获取更多信息。",Matcher,,
find,,public boolean find(int start),"重置此匹配器，然后尝试查找匹配该模式、从指定索引开始的输入序列的下一个子序列。 
如果匹配成功，则可通过 start、end 和 group 方法获取更多信息，而 find() 方法的后续调用将从此匹配操作未匹配的第一个字符开始。",Matcher,IndexOutOfBoundsException - 如果开始点小于零或大于输入序列的长度。,
lookingAt,,public boolean lookingAt(),"尝试将从区域开头开始的输入序列与该模式匹配。 
与 matches 方法类似，此方法始终从区域的开头开始；与之不同的是，它不需要匹配整个区域。 
如果匹配成功，则可以通过 start、end 和 group 方法获取更多信息。",Matcher,,
quoteReplacement,,public static String quoteReplacement(String s),"返回指定 String 的字面值替换 String。 此方法将生成一个 String，它将用作 Matcher 类的 appendReplacement 方法中的字面值替换 s。所产生的 String 将与作为字面值序列的 s 中的字符序列匹配。斜线 ('\') 和美元符号 ('$') 将不具有任何特殊意义。从以下版本开始： 
1.5 ",Matcher,,
appendReplacement,,"public Matcher appendReplacement(StringBuffer sb,String replacement)","实现非终端追加和替换步骤。 
此方法执行以下操作： 
1. 它从追加位置开始在输入序列读取字符，并将其追加到给定字符串缓冲区。在读取以前匹配之前的最后字符（即位于索引 start() - 1 处的字符）之后，它就会停止。
2. 它将给定替换字符串追加到字符串缓冲区。 
3. 它将此匹配器的追加位置设置为最后匹配位置的索引加 1，即 end()。 
替换字符串可能包含到以前匹配期间所捕获的子序列的引用：$g 每次出现时，都将被 group(g) 的计算结果替换。$ 之后的第一个数始终被视为组引用的一部分。如果后续的数可以形成合法组引用，则将被合并到 g 中。只有数字 '0' 到 '9' 被视为组引用的可能组件。例如，如果第二个组匹配字符串 ""foo""，则传递替换字符串 ""$2bar"" 将导致 ""foobar"" 被追加到字符串缓冲区。可能将美元符号 ($) 作为替换字符串中的字面值（通过前面使用一个反斜线 (\$)）包括进来。 
注意，在替换字符串中使用反斜线 (\) 和美元符号 ($) 可能导致与作为字面值替换字符串时所产生的结果不同。美元符号可视为到如上所述已捕获子序列的引用，反斜线可用于转义替换字符串中的字面值字符。 
此方法设计用于循环以及 appendTail 和 find 方法中。例如，以下代码将 one dog two dogs in the yard 写入标准输出流中： 
 Pattern p = Pattern.compile(""cat"");
 Matcher m = p.matcher(""one cat two cats in the yard"");
 StringBuffer sb = new StringBuffer();
 while (m.find()) {
     m.appendReplacement(sb, ""dog"");
 }
 m.appendTail(sb);
 System.out.println(sb.toString());
",Matcher,"IllegalStateException - 如果没有尝试任何匹配，或者以前的匹配操作失败。 
IndexOutOfBoundsException - 如果替换字符串引用模式中不存在的捕获组。",
appendTail,,public StringBuffer appendTail(StringBuffer sb),"实现终端追加和替换步骤。 
此方法从追加位置开始从输入序列读取字符，并将其追加到给定字符串缓冲区。可以在一次或多次调用 appendReplacement 方法后调用它来复制剩余的输入序列。",Matcher,,
