名称,说明,库,声明,NOTE
atoi,把字符串转换成长整型数,stdlib.h,int atoi(const char *nptr);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
atol,把字符串转换成长整型数,stdlib.h,long atol(const char *nptr);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
bar,画一个二维条形图,graphics.h,"void far bar(int left, int top, int right, int bottom);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
bar3d,画一个三维条形图,graphics.h,"void far bar3d(int left, int top, int right, int bottom, int depth, int topflag);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
bdos,DOS系统调用,dos.h,"int bdos(int dosfun, unsigned dosdx, unsigned dosal);",dos.h 里面包含了很多BIOS和DOS调用函数
bdosptr,DOS系统调用,dos.h,"int bdosptr(int dosfun, void *argument, unsigned dosal);",dos.h 里面包含了很多BIOS和DOS调用函数
bioscom,串行I/O通信,bios.h,"int bioscom(int cmd, char abyte, int port);",bios.h TC库
biosdisk,软硬盘I/O,bios.h,"int biosdisk(int cmd, int drive, int head, int track, int sector, int nsects, void *buffer);",bios.h TC库
biosequip,检查设备,bios.h,int biosequip(void);,bios.h TC库
bioskey,直接使用BIOS服务的键盘接口,bios.h,int bioskey(int cmd);,bios.h TC库
biosmemory,返回存储块大小,bios.h,int biosmemory(void);,bios.h TC库
biosprint,直接使用BIOS服务的打印机I/O,bios.h,"int biosprint(int cmd, int byte, int port);",bios.h TC库
biostime,读取或设置BIOS时间,bios.h,"long biostime(int cmd, long newtime);",bios.h TC库
brk,改变数据段空间分配,alloc.h,int brk(void *endds);,"alloc.h 含的内容 同编译器有关, 如果调用, 动态分配函数. "
bsearch,二分法搜索,stdlib.h,"void *bsearch(const void *key, const void *base, size_t *nelem, size_t width, int(*fcmp)(const void *, const *));",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
cabs,计算复数的绝对值,math.h,double cabs(struct complex z);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
calloc,分配主存储器,alloc.h/stdlib.h,"void *calloc(size_t nelem, size_t elsize);",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
ceil,向上舍入,math.h,double ceil(double x);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
cgets,从控制台读字符串,conio.h,char *cgets(char *str);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
chdir,改变工作目录,dir.h,int chdir(const char *path);,dir.h 是linux系统上的头文件
chmod,改变文件的访问方式 ,,"int chmod(const char *filename, int permiss);",
_chmod,改变文件的访问方式 ,,"int _chmod(const char *filename, int permiss);",
chsize,改变文件大小,fcntl.h,"int chsize(int handle, long size);",fcntl.h 用来避免一些系统安全问题。
circle,"在给定半径以(x, y)为圆心画圆",,"void far circle(int x, int y, int radius);",
cleardevice,清除图形屏幕,graphics.h,void far cleardevice(void);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
clearerr,复位错误标志,stdio.h,void clearerr(FILE *stream);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
clearviewport,清除图形视区,graphics.h,void far clearviewport(void);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
clock,确定处理器时间,time.h,clock_t clock(void);,C 标准库的 time.h 头文件定义了四个变量类型、两个宏和各种操作日期和时间的函数。
close,关闭文件句柄,,int close(int handle);,
_close,关闭文件句柄,,int _close(int handle);,
closegraph,关闭图形系统,,void far closegraph(void);,
clreol,在文本窗口中清除字符到行末,conio.h,void clreol(void);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
clrscr,清除文本模式窗口,conio.h,void clrscr(void); ,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
coreleft,返回未使用内存的大小,alloc.h,unsigned coreleft(void);,"alloc.h 含的内容 同编译器有关, 如果调用, 动态分配函数. "
cos,余弦函数,math.h,double cos(double x); ,math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
cosh,双曲余弦函数,math.h,dluble cosh(double x);,math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
country,返回与国家有关的信息,,"struct COUNTRY *country(int countrycode, struct country *country);",
cprintf,送格式化输出至屏幕,conio.h,"int cprintf(const char *format[, argument, ...]);",conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
cputs,写字符到屏幕,conio.h,void cputs(const char *string);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
creat,创建一个新文件或重写一个已存在的文件,io.h,"int creat (const char *filename, int permiss);",io.h 中定义了一些函数和常量
_creat,创建一个新文件或重写一个已存在的文件,io.h,"int _creat (const char *filename, int permiss);",io.h 中定义了一些函数和常量
creatnew,创建一个新文件,io.h,"int creatnew(const char *filename, int attrib);",io.h 中定义了一些函数和常量
creattemp,创建一个新文件或重写一个已存在的文件,io.h,"int creattemp(const char *filename, int attrib); ",io.h 中定义了一些函数和常量
cscanf,从控制台执行格式化输入,conio.h,"int cscanf(char *format[,argument, ...]);",conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
ctime,把日期和时间转换为字符串,time.h,char *ctime(const time_t *time);,C 标准库的 time.h 头文件定义了四个变量类型、两个宏和各种操作日期和时间的函数。
ctrlbrk,设置Ctrl-Break处理程序,,void ctrlbrk(*fptr)(void);,
delay,程序的执行暂停一段时间(毫秒),dos.h,void delay(unsigned milliseconds);,dos.h 里面包含了很多BIOS和DOS调用函数
delline,在文本窗口中删去一行,conio.h,void delline(void);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
detectgraph,通过检测硬件确定图形驱动程序和模式,graphics.h,"void far detectgraph(int far *graphdriver, int far *graphmode);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
difftime,计算两个时刻之间的时间差,time.h,"double difftime(time_t time2, time_t time1);",C 标准库的 time.h 头文件定义了四个变量类型、两个宏和各种操作日期和时间的函数。
disable,屏蔽中断,,void disable(void);,
div,"将两个整数相除, 返回商和余数",stdlib.h,"div_t (int number, int denom);",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
dosexterr,获取扩展DOS错误信息,dos.h,int dosexterr(struct DOSERR *dblkp);,dos.h 里面包含了很多BIOS和DOS调用函数
dostounix,转换日期和时间为UNIX时间格式,dos.h,"long dostounix(struct date *dateptr, struct time *timeptr);",dos.h 里面包含了很多BIOS和DOS调用函数
drawpoly,画多边形,graphics.h,"void far drawpoly(int numpoints, int far *polypoints); ",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
dup,复制一个文件句柄,string.h,void flush(FILE *stream);,C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
dup2,复制文件句柄,string.h,"int dup2(int oldhandle, int newhandle);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
ecvt,把一个浮点数转换为字符串,stdlib.h,"char ecvt(double value, int ndigit, int *decpt, int *sign); ",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
ellipse,画一椭圆,graphics.h,"void far ellipse(int x, int y, int stangle, int endangle, int xradius, int yradius);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
enable,开放硬件中断,,void enable(void);,
eof,检测文件结束,stdio.h,int eof(int *handle);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
execl,装入并运行其它程序的函数,process.h,"int execl(char *pathname, char *arg0, arg1, ..., argn, NULL);",process.h 是包含用于和宏指令的作用声明和过程一起使用的C标头文件
execle,装入并运行其它程序的函数,process.h,"int execle(char *pathname, char *arg0, arg1, ..., argn, NULL, char *envp[]);",process.h 是包含用于和宏指令的作用声明和过程一起使用的C标头文件
execlp,装入并运行其它程序的函数,process.h,"int execlp(char *pathname, char *arg0, arg1, .., NULL);",process.h 是包含用于和宏指令的作用声明和过程一起使用的C标头文件
execple,装入并运行其它程序的函数,process.h,"int execple(char *pathname, char *arg0, arg1, ..., NULL, char *envp[]);",process.h 是包含用于和宏指令的作用声明和过程一起使用的C标头文件
execv,装入并运行其它程序的函数,process.h,"int execv(char *pathname, char *argv[]);",process.h 是包含用于和宏指令的作用声明和过程一起使用的C标头文件
execve,装入并运行其它程序的函数,process.h,"int execve(char *pathname, char *argv[], char *envp[]); ",process.h 是包含用于和宏指令的作用声明和过程一起使用的C标头文件
execvp,装入并运行其它程序的函数,process.h,"int execvp(char *pathname, char *argv[]);",process.h 是包含用于和宏指令的作用声明和过程一起使用的C标头文件
execvpe,装入并运行其它程序的函数,process.h,"int execvpe(char *pathname, char *argv[], char *envp[]);",process.h 是包含用于和宏指令的作用声明和过程一起使用的C标头文件
exit,终止程序,stdlib.h,void exit(int status);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
exp,指数函数,math.h,double exp(double x); ,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
fabs,返回浮点数的绝对值,math.h,double fabs(double x);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
farcalloc,从远堆栈中申请空间,alloc.h,"void far *farcalloc(unsigned long units, unsigned ling unitsz);","alloc.h 含的内容 同编译器有关, 如果调用, 动态分配函数. "
farcoreleft,返回远堆中未作用存储区大小 ,alloc.h,long farcoreleft(void);,"alloc.h 含的内容 同编译器有关, 如果调用, 动态分配函数. "
farfree,从远堆中释放一块 ,alloc.h,void farfree(void);,"alloc.h 含的内容 同编译器有关, 如果调用, 动态分配函数. "
farmalloc,从远堆中分配存储块,alloc.h,void far *farmalloc(unsigned long size); ,"alloc.h 含的内容 同编译器有关, 如果调用, 动态分配函数. "
farrealloc,调整远堆中的分配块,alloc.h,"void far *farrealloc(void far *block, unsigned long newsize);","alloc.h 含的内容 同编译器有关, 如果调用, 动态分配函数. "
fclose,关闭一个流,string.h,int fclose(FILE *stream);,C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
fcloseall,关闭打开流,string.h,int fcloseall(void);,C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
fcvt,把一个浮点数转换为字符串,stdlib.h,"char *fcvt(double value, int ndigit, int *decpt, int *sign); ",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
fdopen,把流与一个文件句柄相接,stdio.h,"FILE *fdopen(int handle, char *type);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
feof,检测流上的文件结束符,stdio.h,int feof(FILE *stream);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
ferror,检测流上的错误,stdio.h,int ferror(FILE *stream);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
fflush,清除一个流,stdio.h,int fflush(FILE *stream);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
fgetc,从流中读取字符,stdio.h,int fgetc(FILE *stream);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
fgetchar,从流中读取字符,stdio.h,int fgetchar(void);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
fgetpos,取得当前文件的句柄,stdio.h,int fgetpos(FILE *stream);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
fgets,从流中读取一字符串,stdio.h,"char *fgets(char *string, int n, FILE *stream);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
filelength,取文件长度字节数,,long filelength(int handle);,
fillellipse,画出并填充一椭圆,graphics.h,"void far fillellipse(int x, int y, int xradius, int yradius);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
fillpoly,画并填充一个多边形 ,graphics.h,"void far fillpoly(int numpoints, int far *polypoints);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
findfirst,搜索磁盘目录,dir.h,"int findfirst(char *pathname, struct ffblk *ffblk, int attrib); ",dir.h 是linux系统上的头文件
findnext,搜索磁盘目录,dir.h,int findnext(struct ffblk *ffblk); ,dir.h 是linux系统上的头文件
floodfill,填充一个有界区域,graphics.h,"void far floodfill(int x, int y, int border);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
floor,向下舍入,math.h,double floor(double x);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
flushall,清除所有缓冲区,stdio.h,int flushall(void);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
fmod,"计算x对y的模, 即x/y的余数",math.h,"double fmod(double x, double y);",C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
fnmerge,建立新文件名,,"void fnerge(char *path, char *drive, char *dir); ",
fopen,打开一个流,stdio.h,"FILE *fopen(char *filename, char *type);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
FP_OFF,获取远地址偏移量,dos.h,unsigned FP_OFF(void far *farptr);,dos.h 里面包含了很多BIOS和DOS调用函数
FP_SEG,获取远地址段值,dos.h,unsigned FP_SEG(void far *farptr);,dos.h 里面包含了很多BIOS和DOS调用函数
fprintf,传送格式化输出到一个流中,stdio.h,"int fprintf(FILE *stream, char *format[, argument,...]); ",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
fputc,送一个字符到一个流中,stdio.h,"int fputc(int ch, FILE *stream);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
fputchar,送一个字符到标准输出流(stdout)中,stdio.h,int fputchar(char ch);,
fputs,送一个字符到一个流中,stdio.h,"int fputs(char *string, FILE *stream);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
fread,从一个流中读数据,stdio.h,"int fread(void *ptr, int size, int nitems, FILE *stream);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
free,释放已分配的块,alloc.h/stdlib.h,void free(void *ptr);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
freemem,释放先前分配的DOS内存块,,int freemem(unsigned seg);,
freopen,替换一个流,stdio.h,"FILE *freopen(char *filename, char *type, FILE *stream);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
frexp,把一个双精度数分解为尾数的指数,math.h,"double frexp(double value, int *eptr);",C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
fscanf,从一个流中执行格式化输入,stdio.h,"int fscanf(FILE *stream, char *format[,argument...]); ",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
fseek,重定位流上的文件指针,stdio.h,"int fseek(FILE *stream, long offset, int fromwhere);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
fsetpos,定位流上的文件指针,stdlib.h,"int fsetpos(FILE *stream, const fpos_t *pos);",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
fstat,获取打开文件信息,,"int fstat(char *handle, struct stat *buff);",
ftell,返回当前文件指针,stdio.h,long ftell(FILE *stream);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
fwrite,写内容到流中,stdio.h,"int fwrite(void *ptr, int size, int nitems, FILE *stream);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
gcvt,把浮点数转换成字符串,stdlib.h,"char *gcvt(double value, int ndigit, char *buf);",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
geninterrupt ,产生一个软中断,,void geninterrupt(int intr_num); ,
getarccoords,取得最后一次调用arc的坐标 ,graphics.h,void far getarccoords(struct arccoordstype far *arccoords);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getaspectratio,返回当前图形模式的纵横比 ,graphics.h,"void far getaspectratio(int far *xasp, int far *yasp); ",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getbkcolor,返回当前背景颜色,graphics.h,int far getbkcolor(void);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getc,从流中取字符,stdio.h,int getc(FILE *stream);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
getcbrk,获取Control_break设置,dos.h,int getcbrk(void);,dos.h 里面包含了很多BIOS和DOS调用函数
getch,从控制台无回显地取一个字符,stdio.h,int getch(void);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
getchar,从stdin流中读字符,stdio.h,int getchar(void);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
getche,从控制台取字符(带回显),conio.h,int getche(void);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
getcolor,返回当前画线颜色,graphics.h,int far getcolor(void);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getcurdir,取指定驱动器的当前目录,,"int getcurdir(int drive, char *direc);",
getcwd,取当前工作目录,,"char *getcwd(char *buf, int n);",
getdate,取DOS日期,dos.h,void getdate(struct *dateblk);,dos.h 里面包含了很多BIOS和DOS调用函数
getdefaultpalette,返回调色板定义结构,graphics.h,struct palettetype *far getdefaultpalette(void);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getdisk,取当前磁盘驱动器号,dir.h,int getdisk(void);,dir.h 是linux系统上的头文件
getdrivername,返回指向包含当前图形驱动程序名字的字符串指针,graphics.h,char *getdrivename(void); ,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getdta,取磁盘传输地址,dos.h,char far *getdta(void);,dos.h 里面包含了很多BIOS和DOS调用函数
getenv,从环境中取字符串 ,stdlib.h,char *getenv(char *envvar);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
getfat,取文件分配表信息,,"void getfat(int drive, struct fatinfo *fatblkp);",
getfatd,取文件分配表信息,,"void getfatd(int drive, struct fatinfo *fatblkp);",
getfillpattern,将用户定义的填充模式拷贝到内存中,graphics.h,void far getfillpattern(char far *upattern);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getfillsettings,取得有关当前填充模式和填充颜色的信息,graphics.h,void far getfillsettings(struct fillsettingstype far *fillinfo);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getftime,取文件日期和时间,,"int getftime(int handle, struct ftime *ftimep);",
getgraphmode,返回当前图形模式,graphics.h,int far getgraphmode(void);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getimage,将指定区域的一个位图存到主存中,graphics.h,"void far getimage(int left, int top, int right, int bottom, void far *bitmap); ",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getlinesettings,取当前线型、模式和宽度,graphics.h,void far getlinesettings(struct linesettingstype far *lininfo);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getmaxcolor,返回可以传给函数setcolor的最大颜色值,graphics.h,int far getmaxcolor(void);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getmaxx,返回屏幕的最大x坐标,graphics.h,int far getmaxx(void);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getmaxy,返回屏幕的最大y坐标,graphics.h,int far getmaxy(void);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getmodename,返回含有指定图形模式名的字符串指针,graphics.h,char *far getmodename(int mode_name);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getmoderange,取给定图形驱动程序的模式范围,graphics.h,"void far getmoderange(int graphdriver, int far *lomode, int far *himode); ",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getpalette,返回有关当前调色板的信息,graphics.h,void far getpalette(struct palettetype far *palette); ,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
getpass,读一个口令,conio.h,char *getpass(char *prompt);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
getpixel,取得指定像素的颜色,graphics.h,"int far getpixel(int x, int y);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
gets,从流中取一字符串,stdio.h,char *gets(char *string);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
gettext,将文本方式屏幕上的文本拷贝到存储区,conio.h,"int gettext(int left, int top, int right, int bottom, void *destin);",conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
gettextinfo,取得文本模式的显示信息,conio.h,void gettextinfo(struct text_info *inforec);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
gettextsettings,返回有关当前图形文本字体的信息,graphics.h,void far gettextsettings(struct textsettingstype far *textinfo);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
gettime,取得系统时间,dos.h,void gettime(struct time *timep);,dos.h 里面包含了很多BIOS和DOS调用函数
getvect,取得中断向量入口,dos.h,void interrupt(*getvect(int intr_num));,dos.h 里面包含了很多BIOS和DOS调用函数
getverify,返回DOS校验标志状态,dos.h,int getverify(void);,dos.h 里面包含了很多BIOS和DOS调用函数
getviewsetting,返回有关当前视区的信息,,void far getviewsettings(struct viewporttype far *viewport);,
getw,从流中取一整数,,int getw(FILE *strem);,
getx,返回当前图形位置的x坐标,graphics.h,int far getx(void);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
gety,返回当前图形位置的y坐标,graphics.h,int far gety(void);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
gmtime,把日期和时间转换为格林尼治标准时间(GMT),time.h,struct tm *gmtime(long *clock);,C 标准库的 time.h 头文件定义了四个变量类型、两个宏和各种操作日期和时间的函数。
gotoxy,在文本窗口中设置光标,conio.h,"void gotoxy(int x, int y);",conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
graphdefaults,将所有图形设置复位为它们的缺省值,graphics.h,void far graphdefaults(void);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
grapherrormsg,返回一个错误信息串的指针,graphics.h,char *far grapherrormsg(int errorcode);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
_graphfreemem,用户可修改的图形存储区释放函数,graphics.h,"void far _graphfreemem(void far *ptr, unsigned size);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
_graphgetmem,用户可修改的图形存储区分配函数,graphics.h,void far *far _graphgetmem(unsigned size);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
graphresult,返回最后一次不成功的图形操作的错误代码,graphics.h,int far graphresult(void);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
harderr,建立一个硬件错误处理程序,,void harderr(int (*fptr)());,
hardresume,硬件错误处理函数,,void hardresume(int rescode);,
highvideo,选择高亮度文本字符,conio.h,void highvideo(void);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
hypot,计算直角三角形的斜边长,math.h,"double hypot(double x, double y);",
imagesize,返回保存位图像所需的字节数,graphics.h,"unsigned far imagesize(int left, int top, int right, int bottom);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
initgraph,初始化图形系统,graphics.h,"void far initgraph(int far *graphdriver, int far *graphmode, char far *pathtodriver);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
inport,从硬件端口中输入,,int inp(int protid);,
insline,在文本窗口中插入一个空行,conio.h,void insline(void);,
installuserdriver,安装设备驱动程序到BGI设备驱动程序表中,graphics.h,"int far installuserdriver(char far *name, int (*detect)(void));",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
